DATETIME,MACD_MAIN,MACD_SIGNAL,AWESOME,STO_MAIN,STO_SIGNAL,PRICE
2022.09.27 10:52,-88.81,-5.79,-118.38,6.28,14.18,109900.00
2022.09.27 10:53,-92.17,-20.15,-205.56,16.08,12.18,110015.00
2022.09.27 10:54,-76.59,-29.88,-214.57,43.01,25.93,110185.00
2022.09.27 10:55,-76.97,-39.99,-199.44,60.90,41.99,110165.00
2022.09.27 10:56,-67.36,-49.07,-148.96,80.00,61.98,110220.00
2022.09.27 10:57,-73.74,-49.78,-158.76,73.60,59.85,110140.00
2022.09.27 10:58,-71.92,-68.97,-114.38,53.59,65.12,110150.00
2022.09.27 10:59,-54.77,-70.82,-112.85,78.44,71.39,110255.00
2022.09.27 11:00,-71.41,-73.18,-144.88,51.48,59.20,110080.00
2022.09.27 11:01,-96.25,-76.40,-195.44,16.97,38.93,109920.00
2022.09.27 11:02,-87.65,-76.34,-204.69,30.45,33.22,110035.00
2022.09.27 11:03,-103.60,-78.12,-220.47,16.80,28.67,109840.00
2022.09.27 11:04,-138.26,-90.89,-354.69,4.30,12.04,109750.00
2022.09.27 11:05,-154.36,-100.34,-411.62,6.33,8.41,109700.00
2022.09.27 11:06,-148.05,-107.75,-436.06,25.45,14.79,109795.00
2022.09.27 11:07,-136.35,-115.17,-433.24,58.06,34.49,109875.00
2022.09.27 11:08,-138.01,-123.49,-418.60,67.42,50.56,109825.00
2022.09.27 11:09,-148.84,-131.56,-417.71,47.92,52.36,109720.00
2022.09.27 11:10,-165.63,-141.35,-431.74,16.07,36.48,109605.00
2022.09.27 11:11,-146.38,-144.38,-401.76,46.20,39.95,109770.00
2022.09.27 11:12,-134.69,-145.09,-376.51,72.97,53.33,109805.00
2022.09.27 11:13,-129.02,-143.71,-357.78,73.37,65.09,109785.00
2022.09.27 11:14,-121.15,-140.81,-302.35,72.68,72.83,109790.00
2022.09.27 11:15,-100.50,-135.35,-232.51,82.87,78.87,109885.00
2022.09.27 11:16,-87.69,-129.33,-182.85,69.59,74.50,109895.00
2022.09.27 11:17,-89.29,-129.50,-182.00,67.74,73.88,109875.00
2022.09.27 11:18,-62.28,-110.96,-91.44,60.11,62.25,109950.00
2022.09.27 11:19,-33.04,-96.50,-24.99,84.07,71.08,110080.00
2022.09.27 11:20,-40.50,-86.46,-30.44,58.60,65.30,109920.00
